,time,BBDC4,GGBR4,MGLU3
479,2022-04-18T13:00:00-03:00,21.79,29.69,5.89
480,2022-04-18T14:00:00-03:00,21.86,28.98,5.9
481,2022-04-18T15:00:00-03:00,21.75,29.56,5.88
482,2022-04-18T16:00:00-03:00,21.75,29.46,5.87
483,2022-04-18T17:00:00-03:00,21.81,29.49,5.89
487,2022-04-19T10:00:00-03:00,19.8,29.24,5.93
488,2022-04-19T11:00:00-03:00,19.6,29.36,5.91
489,2022-04-19T12:00:00-03:00,19.4,29.31,5.96
490,2022-04-19T13:00:00-03:00,19.47,29.76,5.89
491,2022-04-19T14:00:00-03:00,19.53,29.72,5.88
492,2022-04-19T15:00:00-03:00,19.55,29.83,5.87
493,2022-04-19T16:00:00-03:00,19.61,30.3,5.95
494,2022-04-19T17:00:00-03:00,19.57,30.27,5.94
498,2022-04-20T10:00:00-03:00,19.49,28.65,5.75
499,2022-04-20T11:00:00-03:00,19.5,28.67,5.78
500,2022-04-20T12:00:00-03:00,19.46,28.45,5.76
501,2022-04-20T13:00:00-03:00,19.46,29.16,5.73
502,2022-04-20T14:00:00-03:00,19.38,28.51,5.69
503,2022-04-20T15:00:00-03:00,19.37,28.94,5.68
504,2022-04-20T16:00:00-03:00,19.5,29.09,5.63
509,2022-04-22T10:00:00-03:00,19.15,27.78,5.52
510,2022-04-22T11:00:00-03:00,19.21,27.68,5.47
511,2022-04-22T12:00:00-03:00,19.16,27.8,5.48
512,2022-04-22T13:00:00-03:00,19.19,28.27,5.47
513,2022-04-22T14:00:00-03:00,19.17,27.66,5.44
514,2022-04-22T15:00:00-03:00,19.19,28.31,5.46
515,2022-04-22T16:00:00-03:00,19.1,28.31,5.51
516,2022-04-22T17:00:00-03:00,19.22,28.27,5.55
520,2022-04-25T10:00:00-03:00,18.97,26.72,5.55
521,2022-04-25T11:00:00-03:00,18.86,26.77,5.38
522,2022-04-25T12:00:00-03:00,18.91,27.16,5.39
523,2022-04-25T13:00:00-03:00,18.99,27.2,5.41
524,2022-04-25T14:00:00-03:00,18.98,27.2,5.44
525,2022-04-25T15:00:00-03:00,19.11,27.64,5.48
526,2022-04-25T16:00:00-03:00,19.13,27.66,5.47
529,2022-04-26T09:00:00-03:00,18.78,26.35,5.39
